expression,context
sztuczną inteligencję,"Udostępniając sztuczną inteligencję wszystkim, OpenAI chce „przeciwstawiać się dużym korporacjom, które mogą zdobyć zbyt wielką władzę dzięki posiadaniu systemów super-inteligencji poświęconych zyskom, a także rządom, które mogą wykorzystywać sztuczną inteligencję do zdobycia władzy, a nawet do uciskania swoich obywateli”."
słowo kluczowe,W C++11 słowo kluczowe explicit może być zastosowane także do operatorów przekształcenia.
słowo w słowo,"U2 wykorzystał te teksty niemal słowo w słowo, pomijając jednak fragment: „She was my ground, my favorite sound, my country road, my city street, my sky above, my only love, and the ground beneath my feet.”"
tajemnicą poliszynela,"Działalność JMWAVE była tak powszechna, że stała się tajemnicą poliszynela wśród lokalnego rządu Florydy oraz organów ścigania."
tak zwany,"Wreszcie w listopadzie 1941 roku niemieckie władze policyjne wydały tak zwany rozkaz strzelania (niem. Schießbefehl), który upoważniał funkcjonariuszy policji do rozstrzeliwania bez sądu wszystkich Żydów przebywających bez zezwolenia poza granicami getta (w tym kobiet i dzieci)."
tak zwanych,"Jego opublikowane prace to głównie opowiadania, z których większość pojawiła się w tak zwanych pulp magazine w latach 30. i 40."
talon na balon,"Nie daj sobie wcisnąć karty lojalnościowej, to jest zwykły talon na balon."
teorii ewolucji,Jego zainteresowania skupiały się wokół problematyki rozwoju dziecka i teorii ewolucji.
teorii mnogości,"W szczególności przeczytano wstępną wersję definicji, która została później wyjaśniona: 'Najmniejsza liczba większa niż jakakolwiek liczba, która może być nazwana przez wyrażenie w języku zbioru teorii mnogości z mniej niż symbolami googol (10100).'"
to jest,"Prawo to jest uogólnieniem zasady bezwładności, która była rozwijana i eksperymentalnie prezentowana wcześniej przez Galileusza."
to jesteśmy,"Reid pisze, że ten prawie-okrąg „istnieje w przestrzeni raczej jako kula, a kiedy spoglądamy przez tę kulę na przeciwległy brzeg, to jesteśmy przez chwilę wewnątrz naszego oka”."
to znaczy,"Co to znaczy udowodnić twierdzenie matematyczne i jak mieć pewność, że dowód matematyczny jest poprawny?"
tym bardziej,"Było to wielkie wydarzenie tym bardziej, że patron Szkoły był obecny na tej uroczystości."
u boku,"Udział w igrzyskach wzięło około 300 zawodników z 13 krajów, którzy walczyli u boku Wielkiej Brytanii w ostatnichkampaniach wojennych."
układu okresowego,"Jak do tej pory, nie zostały przeprowadzone eksperymenty aby zsyntetyzować następne pierwiastki które mogłyby należeć do 3 grupy układu okresowego."
umowy społecznej,Dzieło to dotyczy struktury społeczeństwa i usankcjonowanego rządu i jest uznawana za jeden z najwcześniejszych i najbardziej wpływowych przykładów teorii umowy społecznej.
uprawiają seks,"Mężczyźni uprawiają seks, po czym Antonio popełnia samobójstwo."
uprawiałam seks,"Loken powiedziała w wywiadzie dla magazynu Curve: 'Umawiałam się na randki i uprawiałam seks z mężczyznami i kobietami i muszę powiedzieć, że relacje, które miałam z niektórymi kobietami były bardziej satysfakcjonujące, seksualnie i emocjonalnie, niż te z mężczyznami..."
w Celle,"Ponieważ z małżeństwa były dwie córki, księstwo Gifhorn wróciło do domu w Celle."
w Dala,Król został przypadkowo zabity w Dala (część dzisiejszego Rangunu) w maju 1256 roku podczas polowania na słonie.
w Dallas,"Generalny menedżer drużyny Bob Gainey wyrażał nadzieję, że transfer Nieuwendyka pomoże franczyzie, która została przeniesiona z Minnesoty 3 lata wcześniej, ugruntować jej pozycję w Dallas."
w Dalton,"Stracili bardzo silną pozycję w Dalton, potem wycofywali się spod Resaca, Calhoun i Adairsville."
w Formacji,H. dashanpuensis znaleziono w Formacji Xiashaximiao.
w Lotaryngii,W 843 roku Traktat w Verdun umiejscawia Dendermonde w Lotaryngii.
w Lotería,"W przeszłości losowania odbywały się w Lotería Nacional hall w Madrycie; w 2010 i 2011 roku w Palacio Municipal de Congresos de Madrid, a w 2012 roku w Teatro Real."
w Lotto,"29 kwietnia – w Elblągu padła najwyższa wygrana w Lotto – 24 636 124,00 PLN."
w Senseless,"Nicholls rozpoczynał karierę w Senseless Things, z którym w latach 1989-1995 wydał cztery albumy studyjne."
w Tokio,"14 maja Block B rozpoczęli trasę po Japonii; chociaż pierwotnie zaplanowano cztery koncerty, ze względu na duże zapotrzebowanie na bilety, trasa została rozszerzona o kolejne siedem koncertów, z przystankami w Tokio, Osace, Fukuoce i Nagoi, które przyciągnęły około 20 tys. fanów."
w Tokyo,"Wykonanie piosenek 'Fantasy', 'Always Be My Baby', 'Underneath the Stars', 'Make it Happen', 'Dreamlover', 'Hero' i 'Anytime You Need a Friend' z koncertu w Tokyo Dome zostały użyte w programie FOX - 'Mariah Carey: New York to Tokyo.'"
w Traktacie,"Europejska Inicjatywa Obywatelska to dodatek do istniejącego już prawa petycji do Parlamentu Europejskiego, a także prawo apelowania do rzecznika, jak postanowione w Traktacie z Maastricht (1993)."
w biegach,"Odnosił sukcesy także w biegach przełajowych, został pierwszym biegaczem, który zwyciężył cztery razy w International Cross Country Championships, pomiędzy rokiem 1933 a 1939."
w biegu,"W odcinku 'Kindred', bliźnięta są wciąż w biegu."
w celach,"Istnieje wiele dowodów na to, że Irish Hobby zostały przywiezione do Anglii i Szkocji w różnych celach, w tym w celach wyścigowych: 'są tak lekkie i szybkie'."
w celi,"Aresztowany przez Gestapo, kilka miesięcy spędził w celi śmierci."
w cellulosomie,"Dokładna rola większości serpin bakteryjnych pozostaje nieznana, choć serpiny Clostridium thermocellum lokalizują się w cellulosomie."
w celowość,Synowie Iwana Władysława byli młodzi i niedoświadczeni i nawet najwytrwalsi wodzowie bułgarscy zwątpili w celowość dalszego oporu.
w celu,"Wspomina także o innego rodzaju nieuczciwościach, np. wspieraniu pewnych badań w celu zabezpieczenia finansowania."
w chuj,Mam ostatnio w chuj roboty.
w ciemności,Kiełkowanie jest najlepsze w ciemności lub w rozproszonym świetle.
w ciemnościach,Nowe wyposażenie czyniło Ju 87 trudniejsze do wykrycia z ziemi w ciemnościach.
w ciągu,"Uważa on, że żaden z rodzajów filozofii języka, istniejących obok siebie w ciągu ostatniego półtorej wieku, nie jest w stanie samodzielnie wyjaśnić skomplikowania człowieka."
w ciągłej,"Honda Cub jest w ciągłej produkcji od 1958 roku z produkcją przewyższającą 60 milionów pojazdów w 2008 roku, 87 milionów w 2014 roku i 100 milionów w 2017 roku, Super Cub jest pojazdem który został wyprodukowany w największej ilości egzemplarzy w historii."
w ciągłych,Ostatnie cztery lata życia spędził w ciągłych podróżach pomiędzy Salzburgiem a Wrocławiem.
w ciągłym,"Gdy znika po pierwszej konfrontacji, żyjesz w ciągłym strachu przed kolejnym atakiem."
w ciąży,"W 1985 roku, wspólnie z Christopherem Bellem, założył Good Counsel Homes dla bezdomnych kobiet w ciąży i dzieci."
w ciążę,W wieku 16 lat uciekła z oficerem marynarki Armandem Pourpe'em. Niedługo po ślubie zaszła w ciążę.
w czasach,"Chociaż sztuka Schillera była często wystawiana w czasach reżimu nazistowskiego, została ona wycofana ze scen w 1941 r."
w czasie,Ostateczną rolę Fawkesa w spisku ustalono w czasie październikowych spotkań.
w czasopismach,"Podczas tej pięcioletniej przerwy od branży rozrywkowej Kim pojawiała się w czasopismach, oraz opublikowała w 2009 roku książkę na temat opieki nad dziećmi i tego, jak stracić wagę po ciąży, zatytułowany 'Happy Mom Project' Kim Hee-sun."
w czasopiśmie,"Amerykański fizyk i matematyk Jack H. Hetherington, pracujący na Michigan State University, postanowił w 1975 r. opublikować wyniki swoich badań na temat fizyki niskich temperatur w czasopiśmie naukowym Physical Review Letters."
w czaszce,Dłuższy i niższy by l w czaszce MWC 1.
w dal,Sneïdry był mistrzem uniwersytetu w 1975 roku w Algierii (w biegu na 100 m i skok w dal).
w dalsze,"'Halfbeak' był zaangażowany w dalsze ćwiczenia na Karaibach do 10 listopada 1954, kiedy udał się na swój pierwszy rejs po Morzu Śródziemnym."
w dalszej,"Po okresie względnego spokoju, kwestia kurdyjskiej autonomii (samorządności bądź niepodległości) pozostała niezałatwiona, co spowodowało niezadowolenie Kurdów, a w dalszej perspektywie – rebelię w roku 1961."
w dalszych,Wiadomości o Iliji w dalszych okresach zależą od stopnia zachowania źródeł historycznych.
w dalszym,"Wtedy mogą nadal korzystać z najnowszej wersji opublikowanej przed wygaśnięciem licencji, lub przedłużyć swoją licencję, aby w dalszym ciągu otrzymywać aktualizacje w okresie jednego roku."
w dodatku,"Dlatego też, gdy w 1951 BBC chciała zmusić Verę Lynn, jedną ze swoich największych śpiewających gwiazd, do wykonania bardziej nowoczesnego materiału niż jej tradycyjny repertuar, stanowczo odmówiła i nagrała dla Radia Luxembourg 42 audycje, za które w dodatku jak stwierdziła, zapłacono jej lepiej."
w drodze,"Pierwszy taki Dzień odbył się w lutym w 2000 roku, a zinstytucjonalizowany został w drodze publicznego referendum."
w drogę,"Następnego ranka, Hendricks wraz z dwoma sowieckimi żołnierzami udają się w drogę powrotną do bazy Narodów Zjednoczonych."
w duchu,"Krytykując żydowskie korzenie chrześcijaństwa, w 1900 roku germanista Ernst Wachler opublikował broszurę, wzywającą do odrodzenia się w duchu rasizmu starożytnej religii niemieckiej."
w formacie,Od 1 listopada 2004 pismo ukazuje się wyłącznie w formacie tabloidowym.
w formacji,"Jego jedyne znane pozostałości obejmują niekompletną czaszkę i izolowane zęby, znalezione w formacji Kirkwood."
w formaldehydzie,"Zakonserwowali je w formaldehydzie, a potem w etanolu, w celu zachowania ich dla późniejszych badań."
w formalne,"W latach siedemdziesiątych pojawiły się nowe grupy rodzimowierstwa germańskiego w Europie i Ameryce Północnej, rozwijając się w formalne organizacje w celu promowania swojej wiary."
w formalnej,RFC 2119 (Requirement Levels) Dokument RFC definiuje poziomy wymagań używane w formalnej dokumentacji.
w formalnych,"Kwestia ta musi być jednak rozważona z uwzględnieniem faktu, że z jak najbardziej usprawiedliwionych powodów książę posługuje się tym tytułem za wyraźną zgodą Jego Królewskiej Mości oraz że zwracano się do niego w ten sposób przy formalnych okazjach i w formalnych dokumentach."
w formalnym,"Przy tak wysokim odsetku pracujących dzieci, analfabetyzm i braki w formalnym wykształceniu stały się powszechnym problemem nieletnich, którzy musieli pracować, by zapewnić byt swoim rodzinom."
w formatach,W grudniu album „Lostbone” miał swoją światową premierę w formatach elektronicznych poprzez amerykańskiego wydawcę Defend Music.
w formie,"Wprawdzie praca dzieci została prawnie zakazana w 1922 roku, to jednak pozostawała powszechna w Związku Radzieckim, głównie w formie obowiązkowej, niepłatnej pracy dzieci w wieku szkolnym w soboty i wakacje."
w głąb,"Norris zgodził się zabrać śledczych w głąb gór San Gabriel i pomóc im w poszukiwaniach ciał dziewcząt, do których porwań i morderstw się przyznał."
w imieniu,"Z listu napisanego w imieniu Shoghi Effendiego do an indywidualnych wiernych, 25 listopada 1950."
w imionach,W konsekwencji tego rząd japoński ogłosił plany zwiększenia liczby kanji „dozwolonych” w imionach.
w imię,Oddam swoje ciało w imię nauki.
w istocie,"Orzeczenie Sądu Najwyższego w istocie zakończyło wszystkie ograniczenia karne, które wyróżniały aborcję w Kanadzie i traktowały ją w sposób specjalny, pozostawiając ją regulacjom prawa Kanady dotyczącym praktyki lekarskiej."
w każdym razie,"Williamson odnotował, że w każdym razie młodociany Parasaurolophus prawdopodobnie miał mały, zaokrąglony grzebień, tak jak P. cyrtocristatus, który prawdopodobnie rósł szybciej u osobników osiągających dojrzałość płciową."
w końcu,"Mimo że formalnie związek tych ziem z Polską ustąpił już w końcu XVII wieku, to w praktyce element polski w Królewcu odgrywał znaczącą rolę przez kolejne stulecia, aż do wybuchu II wojny światowej."
w kształcie,"Znanym dodatkiem jest nowe wejście główne w kształcie dużego zamku skalnego, i kładką, która połączyła stare (1864) i nowe (1926) części zoo."
w kształtowaniu,"W ogłoszeniu reklamowym Volkswagen stwierdził, że właściwie w tym miejscu chciał wyrazić swoją radość z powodu 25 rocznicy zjednoczenia Niemiec, swoją dumę z udziału w kształtowaniu kraju wspólnie z całym narodem przez ostatnie 25 lat, podziękować za zaufanie klientów, którego doświadczył przez wszystkie te lata, jak również podziękować wszystkim swoim pracownikom i partnerom handlowym w Niemczech, ale jednym zdaniem podsumował to co chce wyrazić – że zrobi wszystko, żeby odzyskać zaufanie swoich klientów."
w kółku,Po prawej stronie była litera M (jak Malta) w kółku.
w locie,"Porucznik C. A. Anderson został zabity w locie, chociaż jego radiooperator, Edward J. True, był w stanie wylądować podziurawionym samolotem na morzu."
w lot,4grudnia 1941 roku Pacific Clipper wystartował z Kantonu w lot do Nowej Kaledonii; był to ostatni cywilny przelot przed przystąpieniem Stanów Zjednoczonych do wojny.
w lotach,"Również w październiku 2014, lotnisko London-City zostało zastąpione lotniskiem London-Southend jako docelowy port w lotach SkyWork do Londynu."
w lotnictwie,"Około 50 sprzedano do Polski, gdzie używano ich głównie w lotnictwie sanitarnym, a także aeroklubach."
w lotnisko,"Umowa najmu została podpisana w dniu 16 kwietnia 1925 przez burmistrza Waltera Simsa, który postanowił przekształcić go w lotnisko."
w miarę,"Jednakże, w miarę jak strona stawała się coraz popularniejsza, tak duży ruch został przeniesiony z YouTube, że serwis zablokował dostęp z Niconico."
w międzyczasie,"Savage w międzyczasie, znalazł nowego menadżera."
w niedalekiej,"Miasto podjęło się również doprowadzenia wody i gazu oraz, w niedalekiej przyszłości, przekazania majątku dla celów doświadczalnych."
w obliczeniach,"W 1958, naukowcy z IBM John Cocke i Daniel Slotnick po raz pierwszy rozważali wykorzystanie przetwarzania równoległego w obliczeniach numerycznych."
w obliczu,"W kampanii 1694, Luxembourg zdziałał we Flandrii niewiele, oprócz przeprowadzenia słynnego marszu w obliczu nieprzyjaciela z Vignamont do Tournay."
w oddali,"Nie jest więc zaskakujące to, że przodkowie Irlandczyków trafiają do niewoli w cudzym kraju, uciekają na wygnanie, wędrują przez dzicz, czy też wypatrują w oddali 'Ziemi Obiecanej'."
w odniesieniu do,"W artykule Histoire and Memoires de l'Academie Royale des Sciences z 1769 roku Adanson użył terminu 'mutacje' w odniesieniu do drobnych zmian, które mogą spowodować powstanie nowych cech u poszczególnych osobników."
w odróżnieniu od,"Szacuje się, że bracia Huntowie posiadali około jedną-trzecią wszystkich światowych dostaw srebra (w odróżnieniu od zasobów posiadanych przez rząd)."
w ogniu,"Pomimo, że mit o bogini Sati jest o żonie, która ginie w ogniu z własnej woli, nie jest to przypadek sati."
w ogóle,"Komentując występ Coopera w Sierżancie Yorku reżyser Howard Hawks zaobserwował: „pracował bardzo ciężko, a jednak zdawał się w ogóle nie pracować."
w oparciu o,Życie publiczne powinno rozwijać się w oparciu o różnorodność polityczną i ideologiczną.
w pełni,"Wybuch Rainier, przeprowadzony 19 września 1957, był pierwszym w pełni podziemnym testem jądrowym, co oznacza, że żadne produkty rozszczepienia nie są odprowadzane do atmosfery."
w pierwszym rzędzie,W dniu parady stanął w pierwszym rzędzie oglądających.
w plecach,"Teukie miał odłamki szkła osadzone głęboko w plecach i nad oczami, co wymagało ponad 170 szwów."
w plecy,"Cholewa, teraz jestem 50 dolarów w plecy."
w pobliżu,"Na pozostałych terenach okupowanych także zamierzano przymusowo przesiedlić Żydów do większych miejscowości, zwłaszcza do tych, które leżały w pobliżu linii kolejowych."
w poprzek,Tekst jest najczęściej pisany jedną długą linią w poprzek strony.
w poradni,"Leczył się w poradni zdrowia psychicznego, jednak matka pozwoliła mu odstawić przepisane leki."
w porannym,"Hill dowodził jeszcze 2500 ludźmi, mniej niż połową tego, czym dysponował French, a trzy z pięciu jego brygad były bardzo wykrwawione w porannym boju."
w porze,"Adams często wpraszał się w porze obiadowej do rezydencji Mawhooda, a nawet przyprowadzał ze sobą matkę i kuzynkę."
w porządku,"Gdy Frank Capra zaoferował mu pierwszoplanową rolę w Obywatelu Johnie Doe, jeszcze przed opracowaniem scenariusza przez Roberta Riskina, Cooper zaakceptował propozycję swojego przyjaciela, odpowiadając mu „w porządku Frank, nie potrzebuję scenariusza”."
w porę,"Główne ryzyko w przypadku tej metody polega na tym, że mężczyzna może nie wycofać prącia prawidłowo lub w porę."
w postaci,Kości epokcypitalne występowały prawdopodobnie u wszystkich znanych Ceratopsidae z możliwym wyjątkiem w postaci zuniceratopsa.
w postać,Andy Milder wcielił się w postać Steve’a Balesa w miniserialu HBO From the Earth to the Moon.
w praktyce,"(Chociaż, w praktyce, niektóre narzędzia SQL zwrócą wiersze stosując porównanie z Null.)"
w praktykach,"W swoich licznych książkach i artykułach, Ignaz Goldziher starał się doszukiwać początków doktryn i rytuałów islamu w praktykach innych kultur."
w przeciwieństwie do,"KAPD odrzuciła leninowską formę organizacji razem z centralizmem demokratycznym, udziałem w wyborach, działalnością w reformistycznych związkach zawodowych, w przeciwieństwie do KPD."
w przeciwnym razie,Jeśli oba operandy są nieujemne to reszta jest nieujemna; w przeciwnym razie znak reszty jest zależny od implementacji '.
w przeciwnym wypadku,"Jeśli tak, wiatr musiałby wiać z południowego zachodu, w przeciwnym wypadku nie byłoby żadnej korzyści z takiego manewru; lecz to było zbyt trudne do wyjaśnienia jak angielska flota, płynąc na południe, mogła być szybsza od Holendrów."
w przeciągu,"Strony konfliktu zgodziły się wstrzymać wszystkie operacje militarne w przeciągu 24 godzin zgodnie z pierwszym artykułem, punktu 2, podpunktu c."
w przeddzień,Monti wystąpił w zespole Argentyny pomimo otrzymanych w przeddzień finału gróźb śmierci.
w przededniu,Budynek - znany wówczas jako Pałac Cantacuzino - gościł Prezydencję Rady Ministrów w przededniu II wojny światowej.
w punkcie,Jesteśmy w punkcie zwrotnym naszej historii.
w ramach,Sąd postanowił nie uwzględniać psychologicznych analiz więźniów w Norymberdze w ramach jego zeznań.
w razie,"O ile da się wskazać pewne warunki konieczne jakiegoś zdarzenia czy stanu, o tyle istnieje też podstawa dostateczna, która w razie wystąpienia zadziała z koniecznością: jest to podyktowane logiką."
w rezultacie,Upadek Nowogrodu nie dał w rezultacie pokoju i konflikt pomiędzy Rosją i Szwecją trwał aż do początku XIX wieku.
w rzeczy samej,"Monarchia 1830 jest, w rzeczy samej, jedynym prawowitym spadkobiercą wszystkich władców, z których Francja może być dumna."
w rzeczywistości,"Po swojej pierwszej kampanii na wyżynie Shan, Anawrahta zwrócił się ku zamieszkanym przez lud Mon królestwom na południu, które podobnie jak Pagan, były w rzeczywistości zaledwie dużymi miastami-państwami."
w rzeczywistość,(Czy wierzysz w rzeczywistość?).
w sam raz,"Do Sydney dotarł 21 grudnia, w sam raz by objąć dowództwo nad demontażem systemu „Air Train”, który wspierał brytyjską Flotę Pacyfiku."
w samą porę,"Wreszcie wrócił z pucharem wody w samą porę, by zobaczyć dwóch ludzi odcinających głowę Conaire’a."
w sensie,"Stąd też wynika, że pojęcie organizacji w sensie czynnościowym można interpretować jako dowolny proces informacyjny, dowolnego stopnia w systemie ergotransformacyjnym SET."
w skrócie,"Boss General Catalogue (General Catalogue, w skrócie: GC) – katalog astronomiczny zawierający dane o 33342 gwiazdach."
w sobie,"Tylko wewnątrz tego może świecić cienka wiązka światła, która jednak zawiera w sobie pełną przeznaczenia bliskość, do której jest zdolna dwójka ludzi'."
w sprawach,"Po powrocie do Polski jeszcze raz został wysłany do Hiszpanii po śmierci Piotra Barzego, kasztelana przemyskiego i posła polskiego, który podjął błędne decyzje w sprawach państwowych, co wymagało natychmiastowej interwencji i naprawy."
w sprawie,W Pentagonie sekretarz John Keller prowadzi śledztwo w sprawie ataku.
w sprawy,"Przeciwstawiał się militarnej, politycznej oraz ekonomicznej ingerencji w sprawy innych narodów."
w sprawę,"Oświadczenia doktrynalne złożone przez Kościół wskazują, że „z powodu naszego zaangażowania dla Chrystusa i wiary w wartościowość wszystkich ludzi oraz społeczności, poświęcamy nasze życia zaangażowaniu się w sprawę pokoju i sprawiedliwości dla wszystkich ludzi”."
w stanie,"Ponieważ było to dla nich trudne, zapytali: 'Który z nas jest w stanie to uczynić, Wysłanniku Allaha?'"
w stosunku do,Zauważmy wielki wzrost mieszania bitów w słowa w stosunku do SHA-1.
w strony,"W Art after Technology Maurice Benayoun wykazuje listę możliwych ścieżek dla 'postdigitalnej' sztuki, zważając że cyfrowy zalew spowodował zmianę w całym społecznym, gospodarczym, artystycznym krajobrazie i postawa artysty będzie poruszać się w strony, które starają się uciec od technologicznej sfery, tym samym nie będąc w stanie całkowicie jej odrzucić."
w stronę,"Lokalni politycy, jak były członek rady i doradca wicekróla, Juan José Castelli, którzy chcieli zmian w stronę samorządu i wolnego handlu, cytowali tradycyjną hiszpańską teorię polityczną i twierdzili, że w sytuacji, gdy król jest uwięziony, władza wraca do ludu."
w sumie,Parkes posiadał w sumie 66 patentów na procesy i produkty głównie związane z elektroplaterowaniem oraz uzyskiwaniem tworzyw sztucznych.
w swoim czasie,"Podczas gdy czytanie Montaigne przez Charrona jest teraz uważane za dogmatyczne, a nawet za coś zniekształconego, było ważne w swoim czasie i w całym XVII wieku."
w sytuacjach,"Jest to ważne w sytuacjach, kiedy użytkownik może nie chcieć lub może zapomnieć zaszyfrować poufne pliki."
w sytuacji,"Nic w tym dziwnego, ponieważ Protokoły mędrców Syjonu, sporządzone przez ich mędrców ponad 100 lat temu, to drobiazgowy i precyzyjny plan, i są one dowodem nawet w sytuacji, gdy stanowią oni mniejszość, że ich celem jest panowanie nad światem i całą rasą ludzką."
w szczególności,Fiat Trattori była producentem maszyn rolniczych w szczególności ciągników rolniczych.
w teorii,"W szczególności staje się możliwe odniesienie spektrum głównych operacji w teorii do wartości ładunku centralnego, c."
w teorię,"Pomimo ogromu pracy, którą Jordan włożył w teorię rozszerzającej się Ziemi, jego praca geologiczna nigdy nie była traktowana poważnie przez fizyków i geologów."
w tokijskiej,W lutym 1945 roku jego rodzina została ewakuowana z domu w tokijskiej dzielnicy Ikebukuro do Fukushimy w północnej Japonii.
w toku,Jego prośba o azyl polityczny w Stanach Zjednoczonych rozpatrzona została w toku rutynowej kontroli w dniu 30 czerwca 2010 roku.
w trakcie,"Jednak polityka rządu przed, w trakcie i po okresie stagnacji spowodowała, że inwestycje w transport były niskie."
w traktacie,"Koniecznym jest więc, abyśmy jeszcze raz potwierdzili, że takie obawy są bezpodstawne, i że deklaracja jest potwierdzona przez mocarstwa aliantów na konferencji w San Remo i w traktacie z Sevres, i nie będzie zmieniona."
w traktatach,"Prace Komitetu odbywają się według trzech głównych zasad: Pomocniczość Zasada ta, zapisana w traktatach w tym samym czasie, gdy tworzono Komitet Regionów, oznacza, że decyzje w Unii Europejskiej powinny być podejmowane na szczeblu możliwie najbliższym obywatelom."
w tym,"Nie znalazłem twoich rzeczy, w tym twoich kluczy."
w tył,Wiatr spychał okręt w tył; 3 kwietnia był dalej na północ niż tydzień wcześniej.
w wynikach,"W 1976 roku Martin Feldstein skrytykował tę teorię, twierdząc, że Barro nie uwzględnił w wynikach swojej pracy zarówno wzrostu gospodarki jak i społeczeństwa."
w wyniku,Cerkiew ta została spalona w październiku 1672 roku najprawdopodobniej w wyniku najazdu Tatarów.
w zależności od,Razem inwestycje w zależności od ilości biznes planu miały wynieść 371 mln USD w okresie obowiązywania umowy.
w zamian,Papież Grzegorz III zaproponował zapłatę za zwrot Gallese w zamian za traktat pokojowy z Trazymundem.
w zasadzie,"Podział osobowości jest wzmocniony przez potwierdzenie narratora, że William Wilson to w zasadzie pseudonim."
w zupełności,"Wierzył, że jego kapłani w zupełności wystarczali, by zaspokajać potrzeby religijne ludności ukraińskiej."
w związku z,"W chwili wybuchu wojny Constitution znajdowała się w Annapolis kompletując nową załogę, w związku z czym przez trzy tygodnie nie mogła wyjść w morze."
w związku zakupem,"Własną dzielnicę Henryk VII otrzymał dopiero w 1395 (w wieku 52 lat), w związku zakupem przez ojca trzy lat wcześniej Niemczy."
w związku ze,"Theroux przez 14 lat był w związku ze stylistką Heidi Bivens, aż do 2011 roku."
w świetle,'Jedynie uczciwa ocena w świetle Chrystusowego Ducha powinna decydować o kwestii posługi kobiet; nie konwencja czy osobiste upodobania.
w żaden sposób,Religia nie jest w żaden sposób bardziej „spełnianiem woli Boga” niż cokolwiek innego.
w żadnym razie,Nie może ono w żadnym razie zmienić ich osobistego stanu prawnego ani wciągać ich do podległych mu formacji lub organizacji.
w żadnym wypadku,"Dlaczego mamy zobowiązywać się do przyjęcia granic, których Arabowie w żadnym wypadku nie przyjmują?”."
w1937(w ramach,"Oprócz dwóch dłuższych pobytów w Anglii w1937(w ramach zaproszenia czasopisma „The Penrose Annual”) i między 1947a1949 (na zaproszenie Ruariego McLeana, brytyjskiego typografa, zktórym współpracował przy projektowaniu książek dla Penguin Books) przez resztę życia mieszkał w Szwajcarii."
wedle teorii,"Dodatkowo przewidywania w obu teoriach będą ilościowo identyczne, wobec czego jeśli dwie cząstki wedle teorii grawitacyjnej zderzą się z prawdopodobieństwem 40%, to odpowiadające im zbiory cząstek w teorii granicy także zderzą się z prawdopodobieństwem 40%."
weź udział,The Jam – weź udział w konkursie na grę inspirowaną Electro Body i rozpocznij karierę dewelopera.
weźmie udział,"19 lipca 2010 Gazprom, Eni oraz Électricité de France opublikowały wspólne obwieszczenie prasowe potwierdzające, że EDF weźmie udział w projekcie."
weźmie udziału,"Ogłoszono również, że Jin nie weźmie udziału w promocjach z powodu problemów zdrowotnych."
wielki krok,"Dojście do porozumienia zostało przyjęte przez brytyjskiego premiera Tony’ego Blaira jako „wielki, wielki krok naprzód”."
wielkiego krokodyla,Legenda z Timoru Wschodniego opowiada o chłopcu ratującym wielkiego krokodyla unieruchomionego na mieliźnie.
wojen domowych,"Po zakończeniu wojen domowych August zredukował i zreorganizował rzymskie siły zbrojne, wliczając w to flotę."
wojen religijnych,Wieś została spalona przez wojska Viry w 1409 roku i była zobowiązana do poddania się konsekwencjom wojen religijnych w następnym stuleciu.
wojna domowa,"Maria zgodziła się na wyjazd, gdy generał Białej Armii oświadczył jej, że wojna domowa jest już przez nich przegrana."
wojnie domowej,Pod koniec maja 2004 zespół odbył podróż do Demokratycznej Republiki Konga wraz z organizacją charytatywną War Child w celu sporządzenia filmu dokumentalnego o wojnie domowej.
wojnie religijnej,"Fryderyk IV postanowił wykorzystać zaangażowanie się Henryka XI w wojnie religijnej we Francji, aby uwolnić się spod kurateli brata."
wojny domowej,Podczas amerykańskiej wojny domowej (1863) dwoje partnerów weszło w biznes naftowy.
wojny religijne,Hiszpania zaangażowała się w wojny religijne we Francji po śmierci Henryka II.
wojną domową,Hierarcha nie chciał jednak pozostać w ogarniętej wojną domową Rosji i 27 grudnia 1611 podjął próbę ucieczki z Moskwy.
wojnę domową,Przez wiele lat mieszkający w Libanie Polacy nie mieli możliwości kontaktowania się między sobą ze względu na trwającą w latach 1976–1990 wojnę domową.
wolności słowa,"You Can't Read This Book: Censorship in an Age of Freedom– to książka autorstwa Nicka Cohena wydana w 2012, na temat współczesnej cenzury, plutokratycznej władzy, przepisów dotyczących ochrony prywatności oraz wolności słowa i ekspresji."
wolność słowa,"Zagwarantowano wolność słowa i pisma, jakkolwiek jedynym pismem był Journal de Malta, wydawany przez rząd."
wraz z,"Marian Rejewski i Henryk Zygalski wspinali się przez Pireneje wraz z przewodnikiem (który ich okradł), aż do granicy hiszpańskiej, gdzie zostali aresztowani 30 stycznia 1943 roku."
wraz zChristianem,Drexler dołączył do zespołu 12 maja 1992 roku wraz zChristianem Laettneremz Uniwersytetu Duke.
wraz ze,4 lipca 1984 roku Jackson wykonał „Beat It” na żywo wraz ze swoimi braćmi podczas Victory Tour zespołu The Jacksons.
wręcz przeciwnie,"Nie był to jednak jedyny nalot tego dnia, wręcz przeciwnie."
wspólnego mianownika,Malarstwo pracowni Masłowskiego w tym okresie nie da się sprowadzić do wspólnego mianownika; jego realizm ma wówczas kilka wydań – bliżej romantycznych sentymentów albo bliżej prawdy natury.
wspólny mianownik,najniższy wspólny mianownik
